,id,activity_name
0,b1_113,Loan__application_received
2,b1_113,Check__application__form_completeness
4,b1_113,Appraise_property
5,b1_113,Check_credit_history
8,b1_113,Assess_loan_risk
10,b1_113,Assess_eligibility
12,b1_113,Reject_application
14,b1_113,Loan_application_rejected
16,b1_12,Loan__application_received
18,b1_12,Check__application__form_completeness
20,b1_12,Appraise_property
21,b1_12,Check_credit_history
23,b1_12,Assess_loan_risk
26,b1_12,Assess_eligibility
28,b1_12,Prepare_acceptance_pack
30,b1_12,Check_if_home_insurance_quote_is_requested
32,b1_12,Send_home_insurance_quote
34,b1_12,Verify_repayment_agreement
36,b1_12,Cancel_application
38,b1_12,Loan__application_canceled
40,b1_84,Loan__application_received
42,b1_84,Check__application__form_completeness
44,b1_84,Appraise_property
45,b1_84,Check_credit_history
47,b1_84,Assess_loan_risk
50,b1_84,Assess_eligibility
52,b1_84,Reject_application
54,b1_84,Loan_application_rejected
56,b1_154,Loan__application_received
58,b1_154,Check__application__form_completeness
60,b1_154,Appraise_property
61,b1_154,Check_credit_history
63,b1_154,Assess_loan_risk
66,b1_154,Assess_eligibility
68,b1_154,Reject_application
70,b1_154,Loan_application_rejected
72,b1_2,Loan__application_received
74,b1_2,Check__application__form_completeness
76,b1_2,Appraise_property
77,b1_2,Check_credit_history
80,b1_2,Assess_loan_risk
82,b1_2,Assess_eligibility
84,b1_2,Prepare_acceptance_pack
86,b1_2,Check_if_home_insurance_quote_is_requested
88,b1_2,Send_acceptance_pack
90,b1_2,Verify_repayment_agreement
92,b1_2,Cancel_application
94,b1_2,Loan__application_canceled
96,b1_249,Loan__application_received
98,b1_249,Check__application__form_completeness
100,b1_249,Appraise_property
101,b1_249,Check_credit_history
104,b1_249,Assess_loan_risk
106,b1_249,Assess_eligibility
108,b1_249,Reject_application
110,b1_249,Loan_application_rejected
112,b1_341,Loan__application_received
114,b1_341,Check__application__form_completeness
116,b1_341,Appraise_property
117,b1_341,Check_credit_history
120,b1_341,Assess_loan_risk
122,b1_341,Assess_eligibility
124,b1_341,Reject_application
126,b1_341,Loan_application_rejected
128,b1_427,Loan__application_received
130,b1_427,Check__application__form_completeness
132,b1_427,Appraise_property
133,b1_427,Check_credit_history
135,b1_427,Assess_loan_risk
138,b1_427,Assess_eligibility
140,b1_427,Prepare_acceptance_pack
142,b1_427,Check_if_home_insurance_quote_is_requested
144,b1_427,Send_acceptance_pack
146,b1_427,Verify_repayment_agreement
148,b1_427,Cancel_application
150,b1_427,Loan__application_canceled
152,b1_478,Loan__application_received
154,b1_478,Check__application__form_completeness
156,b1_478,Appraise_property
157,b1_478,Check_credit_history
159,b1_478,Assess_loan_risk
162,b1_478,Assess_eligibility
164,b1_478,Reject_application
166,b1_478,Loan_application_rejected
168,b1_15,Loan__application_received
170,b1_15,Check__application__form_completeness
172,b1_15,Appraise_property
173,b1_15,Check_credit_history
176,b1_15,Assess_loan_risk
178,b1_15,Assess_eligibility
180,b1_15,Prepare_acceptance_pack
182,b1_15,Check_if_home_insurance_quote_is_requested
184,b1_15,Send_acceptance_pack
186,b1_15,Verify_repayment_agreement
188,b1_15,Approve_application
190,b1_15,Loan__application_approved
192,b1_51,Loan__application_received
194,b1_51,Check__application__form_completeness
196,b1_51,Appraise_property
197,b1_51,Check_credit_history
199,b1_51,Assess_loan_risk
202,b1_51,Assess_eligibility
204,b1_51,Prepare_acceptance_pack
206,b1_51,Check_if_home_insurance_quote_is_requested
208,b1_51,Send_acceptance_pack
210,b1_51,Verify_repayment_agreement
212,b1_51,Cancel_application
214,b1_51,Loan__application_canceled
216,b1_206,Loan__application_received
218,b1_206,Check__application__form_completeness
220,b1_206,Appraise_property
221,b1_206,Check_credit_history
224,b1_206,Assess_loan_risk
226,b1_206,Assess_eligibility
228,b1_206,Prepare_acceptance_pack
230,b1_206,Check_if_home_insurance_quote_is_requested
232,b1_206,Send_acceptance_pack
234,b1_206,Verify_repayment_agreement
236,b1_206,Approve_application
238,b1_206,Loan__application_approved
240,b1_210,Loan__application_received
242,b1_210,Check__application__form_completeness
244,b1_210,Appraise_property
245,b1_210,Check_credit_history
247,b1_210,Assess_loan_risk
250,b1_210,Assess_eligibility
252,b1_210,Reject_application
254,b1_210,Loan_application_rejected
256,b1_425,Loan__application_received
258,b1_425,Check__application__form_completeness
260,b1_425,Appraise_property
261,b1_425,Check_credit_history
264,b1_425,Assess_loan_risk
266,b1_425,Assess_eligibility
268,b1_425,Reject_application
270,b1_425,Loan_application_rejected
272,b1_100,Loan__application_received
274,b1_100,Check__application__form_completeness
276,b1_100,Appraise_property
277,b1_100,Check_credit_history
280,b1_100,Assess_loan_risk
282,b1_100,Assess_eligibility
284,b1_100,Reject_application
286,b1_100,Loan_application_rejected
288,b1_95,Loan__application_received
290,b1_95,Check__application__form_completeness
292,b1_95,Appraise_property
293,b1_95,Check_credit_history
296,b1_95,Assess_loan_risk
298,b1_95,Assess_eligibility
300,b1_95,Prepare_acceptance_pack
302,b1_95,Check_if_home_insurance_quote_is_requested
304,b1_95,Send_acceptance_pack
306,b1_95,Verify_repayment_agreement
308,b1_95,Cancel_application
310,b1_95,Loan__application_canceled
312,b1_497,Loan__application_received
314,b1_497,Check__application__form_completeness
316,b1_497,Appraise_property
317,b1_497,Check_credit_history
319,b1_497,Assess_loan_risk
322,b1_497,Assess_eligibility
324,b1_497,Reject_application
326,b1_497,Loan_application_rejected
328,b1_431,Loan__application_received
330,b1_431,Check__application__form_completeness
332,b1_431,Appraise_property
333,b1_431,Check_credit_history
336,b1_431,Assess_loan_risk
338,b1_431,Assess_eligibility
340,b1_431,Prepare_acceptance_pack
342,b1_431,Check_if_home_insurance_quote_is_requested
344,b1_431,Send_home_insurance_quote
346,b1_431,Verify_repayment_agreement
348,b1_431,Cancel_application
350,b1_431,Loan__application_canceled
352,b1_20,Loan__application_received
354,b1_20,Check__application__form_completeness
356,b1_20,Appraise_property
357,b1_20,Check_credit_history
360,b1_20,Assess_loan_risk
362,b1_20,Assess_eligibility
364,b1_20,Reject_application
366,b1_20,Loan_application_rejected
368,b1_283,Loan__application_received
370,b1_283,Check__application__form_completeness
372,b1_283,Appraise_property
373,b1_283,Check_credit_history
375,b1_283,Assess_loan_risk
378,b1_283,Assess_eligibility
380,b1_283,Prepare_acceptance_pack
382,b1_283,Check_if_home_insurance_quote_is_requested
384,b1_283,Send_home_insurance_quote
386,b1_283,Verify_repayment_agreement
388,b1_283,Cancel_application
390,b1_283,Loan__application_canceled
392,b1_388,Loan__application_received
394,b1_388,Check__application__form_completeness
396,b1_388,Return_application_back_to_applicant
398,b1_388,Receive_updated_application
400,b1_388,Check__application__form_completeness
402,b1_388,Appraise_property
403,b1_388,Check_credit_history
405,b1_388,Assess_loan_risk
408,b1_388,Assess_eligibility
410,b1_388,Reject_application
412,b1_388,Loan_application_rejected
414,b1_88,Loan__application_received
416,b1_88,Check__application__form_completeness
418,b1_88,Appraise_property
419,b1_88,Check_credit_history
421,b1_88,Assess_loan_risk
424,b1_88,Assess_eligibility
426,b1_88,Prepare_acceptance_pack
428,b1_88,Check_if_home_insurance_quote_is_requested
430,b1_88,Send_home_insurance_quote
432,b1_88,Verify_repayment_agreement
434,b1_88,Cancel_application
436,b1_88,Loan__application_canceled
438,b1_313,Loan__application_received
440,b1_313,Check__application__form_completeness
442,b1_313,Appraise_property
443,b1_313,Check_credit_history
446,b1_313,Assess_loan_risk
448,b1_313,Assess_eligibility
450,b1_313,Prepare_acceptance_pack
452,b1_313,Check_if_home_insurance_quote_is_requested
454,b1_313,Send_acceptance_pack
456,b1_313,Verify_repayment_agreement
458,b1_313,Cancel_application
460,b1_313,Loan__application_canceled
462,b1_366,Loan__application_received
464,b1_366,Check__application__form_completeness
466,b1_366,Return_application_back_to_applicant
468,b1_366,Receive_updated_application
470,b1_366,Check__application__form_completeness
472,b1_366,Return_application_back_to_applicant
474,b1_366,Receive_updated_application
476,b1_366,Check__application__form_completeness
478,b1_366,Appraise_property
479,b1_366,Check_credit_history
482,b1_366,Assess_loan_risk
484,b1_366,Assess_eligibility
486,b1_366,Prepare_acceptance_pack
488,b1_366,Check_if_home_insurance_quote_is_requested
490,b1_366,Send_home_insurance_quote
492,b1_366,Verify_repayment_agreement
494,b1_366,Cancel_application
496,b1_366,Loan__application_canceled
498,b1_351,Loan__application_received
500,b1_351,Check__application__form_completeness
502,b1_351,Appraise_property
503,b1_351,Check_credit_history
505,b1_351,Assess_loan_risk
508,b1_351,Assess_eligibility
510,b1_351,Reject_application
512,b1_351,Loan_application_rejected
514,b1_227,Loan__application_received
516,b1_227,Check__application__form_completeness
518,b1_227,Appraise_property
519,b1_227,Check_credit_history
522,b1_227,Assess_loan_risk
524,b1_227,Assess_eligibility
526,b1_227,Prepare_acceptance_pack
528,b1_227,Check_if_home_insurance_quote_is_requested
530,b1_227,Send_acceptance_pack
532,b1_227,Verify_repayment_agreement
534,b1_227,Approve_application
536,b1_227,Loan__application_approved
538,b1_346,Loan__application_received
540,b1_346,Check__application__form_completeness
542,b1_346,Return_application_back_to_applicant
544,b1_346,Receive_updated_application
546,b1_346,Check__application__form_completeness
548,b1_346,Appraise_property
549,b1_346,Check_credit_history
552,b1_346,Assess_loan_risk
554,b1_346,Assess_eligibility
556,b1_346,Reject_application
558,b1_346,Loan_application_rejected
560,b1_404,Loan__application_received
562,b1_404,Check__application__form_completeness
564,b1_404,Return_application_back_to_applicant
566,b1_404,Receive_updated_application
568,b1_404,Check__application__form_completeness
570,b1_404,Appraise_property
571,b1_404,Check_credit_history
574,b1_404,Assess_loan_risk
576,b1_404,Assess_eligibility
578,b1_404,Prepare_acceptance_pack
580,b1_404,Check_if_home_insurance_quote_is_requested
582,b1_404,Send_acceptance_pack
584,b1_404,Verify_repayment_agreement
586,b1_404,Cancel_application
588,b1_404,Loan__application_canceled
590,b1_254,Loan__application_received
592,b1_254,Check__application__form_completeness
594,b1_254,Appraise_property
595,b1_254,Check_credit_history
598,b1_254,Assess_loan_risk
600,b1_254,Assess_eligibility
602,b1_254,Reject_application
604,b1_254,Loan_application_rejected
606,b1_467,Loan__application_received
608,b1_467,Check__application__form_completeness
610,b1_467,Appraise_property
611,b1_467,Check_credit_history
613,b1_467,Assess_loan_risk
616,b1_467,Assess_eligibility
618,b1_467,Reject_application
620,b1_467,Loan_application_rejected
622,b1_19,Loan__application_received
624,b1_19,Check__application__form_completeness
626,b1_19,Appraise_property
627,b1_19,Check_credit_history
630,b1_19,Assess_loan_risk
632,b1_19,Assess_eligibility
634,b1_19,Prepare_acceptance_pack
636,b1_19,Check_if_home_insurance_quote_is_requested
638,b1_19,Send_acceptance_pack
640,b1_19,Verify_repayment_agreement
642,b1_19,Cancel_application
644,b1_19,Loan__application_canceled
646,b1_239,Loan__application_received
648,b1_239,Check__application__form_completeness
650,b1_239,Appraise_property
651,b1_239,Check_credit_history
653,b1_239,Assess_loan_risk
656,b1_239,Assess_eligibility
658,b1_239,Reject_application
660,b1_239,Loan_application_rejected
662,b1_492,Loan__application_received
664,b1_492,Check__application__form_completeness
666,b1_492,Appraise_property
667,b1_492,Check_credit_history
670,b1_492,Assess_loan_risk
672,b1_492,Assess_eligibility
674,b1_492,Prepare_acceptance_pack
676,b1_492,Check_if_home_insurance_quote_is_requested
678,b1_492,Send_acceptance_pack
680,b1_492,Verify_repayment_agreement
682,b1_492,Approve_application
684,b1_492,Loan__application_approved
686,b1_139,Loan__application_received
688,b1_139,Check__application__form_completeness
690,b1_139,Appraise_property
691,b1_139,Check_credit_history
694,b1_139,Assess_loan_risk
696,b1_139,Assess_eligibility
698,b1_139,Prepare_acceptance_pack
700,b1_139,Check_if_home_insurance_quote_is_requested
702,b1_139,Send_acceptance_pack
704,b1_139,Verify_repayment_agreement
706,b1_139,Cancel_application
708,b1_139,Loan__application_canceled
710,b1_97,Loan__application_received
712,b1_97,Check__application__form_completeness
714,b1_97,Appraise_property
715,b1_97,Check_credit_history
717,b1_97,Assess_loan_risk
720,b1_97,Assess_eligibility
722,b1_97,Prepare_acceptance_pack
724,b1_97,Check_if_home_insurance_quote_is_requested
726,b1_97,Send_acceptance_pack
728,b1_97,Verify_repayment_agreement
730,b1_97,Approve_application
732,b1_97,Loan__application_approved
734,b1_437,Loan__application_received
736,b1_437,Check__application__form_completeness
738,b1_437,Appraise_property
739,b1_437,Check_credit_history
742,b1_437,Assess_loan_risk
744,b1_437,Assess_eligibility
746,b1_437,Prepare_acceptance_pack
748,b1_437,Check_if_home_insurance_quote_is_requested
750,b1_437,Send_acceptance_pack
752,b1_437,Verify_repayment_agreement
754,b1_437,Cancel_application
756,b1_437,Loan__application_canceled
758,b1_408,Loan__application_received
760,b1_408,Check__application__form_completeness
762,b1_408,Appraise_property
763,b1_408,Check_credit_history
766,b1_408,Assess_loan_risk
768,b1_408,Assess_eligibility
770,b1_408,Prepare_acceptance_pack
772,b1_408,Check_if_home_insurance_quote_is_requested
774,b1_408,Send_acceptance_pack
776,b1_408,Verify_repayment_agreement
778,b1_408,Cancel_application
780,b1_408,Loan__application_canceled
782,b1_361,Loan__application_received
784,b1_361,Check__application__form_completeness
786,b1_361,Appraise_property
787,b1_361,Check_credit_history
789,b1_361,Assess_loan_risk
792,b1_361,Assess_eligibility
794,b1_361,Prepare_acceptance_pack
796,b1_361,Check_if_home_insurance_quote_is_requested
798,b1_361,Send_acceptance_pack
800,b1_361,Verify_repayment_agreement
802,b1_361,Cancel_application
804,b1_361,Loan__application_canceled
806,b1_203,Loan__application_received
808,b1_203,Check__application__form_completeness
810,b1_203,Appraise_property
811,b1_203,Check_credit_history
814,b1_203,Assess_loan_risk
816,b1_203,Assess_eligibility
818,b1_203,Prepare_acceptance_pack
820,b1_203,Check_if_home_insurance_quote_is_requested
822,b1_203,Send_home_insurance_quote
824,b1_203,Verify_repayment_agreement
826,b1_203,Cancel_application
828,b1_203,Loan__application_canceled
830,b1_486,Loan__application_received
832,b1_486,Check__application__form_completeness
834,b1_486,Appraise_property
835,b1_486,Check_credit_history
837,b1_486,Assess_loan_risk
840,b1_486,Assess_eligibility
842,b1_486,Prepare_acceptance_pack
844,b1_486,Check_if_home_insurance_quote_is_requested
846,b1_486,Send_acceptance_pack
848,b1_486,Verify_repayment_agreement
850,b1_486,Approve_application
852,b1_486,Loan__application_approved
854,b1_238,Loan__application_received
856,b1_238,Check__application__form_completeness
858,b1_238,Appraise_property
859,b1_238,Check_credit_history
862,b1_238,Assess_loan_risk
864,b1_238,Assess_eligibility
866,b1_238,Prepare_acceptance_pack
868,b1_238,Check_if_home_insurance_quote_is_requested
870,b1_238,Send_acceptance_pack
872,b1_238,Verify_repayment_agreement
874,b1_238,Cancel_application
876,b1_238,Loan__application_canceled
878,b1_469,Loan__application_received
880,b1_469,Check__application__form_completeness
882,b1_469,Appraise_property
883,b1_469,Check_credit_history
885,b1_469,Assess_loan_risk
888,b1_469,Assess_eligibility
890,b1_469,Prepare_acceptance_pack
892,b1_469,Check_if_home_insurance_quote_is_requested
894,b1_469,Send_acceptance_pack
896,b1_469,Verify_repayment_agreement
898,b1_469,Approve_application
900,b1_469,Loan__application_approved
902,b1_421,Loan__application_received
904,b1_421,Check__application__form_completeness
906,b1_421,Appraise_property
907,b1_421,Check_credit_history
910,b1_421,Assess_loan_risk
912,b1_421,Assess_eligibility
914,b1_421,Prepare_acceptance_pack
916,b1_421,Check_if_home_insurance_quote_is_requested
918,b1_421,Send_home_insurance_quote
920,b1_421,Verify_repayment_agreement
922,b1_421,Approve_application
924,b1_421,Loan__application_approved
926,b1_24,Loan__application_received
928,b1_24,Check__application__form_completeness
930,b1_24,Return_application_back_to_applicant
932,b1_24,Receive_updated_application
934,b1_24,Check__application__form_completeness
936,b1_24,Appraise_property
937,b1_24,Check_credit_history
940,b1_24,Assess_loan_risk
942,b1_24,Assess_eligibility
944,b1_24,Prepare_acceptance_pack
946,b1_24,Check_if_home_insurance_quote_is_requested
948,b1_24,Send_acceptance_pack
950,b1_24,Verify_repayment_agreement
952,b1_24,Cancel_application
954,b1_24,Loan__application_canceled
956,b1_251,Loan__application_received
958,b1_251,Check__application__form_completeness
960,b1_251,Appraise_property
961,b1_251,Check_credit_history
964,b1_251,Assess_loan_risk
966,b1_251,Assess_eligibility
968,b1_251,Prepare_acceptance_pack
970,b1_251,Check_if_home_insurance_quote_is_requested
972,b1_251,Send_home_insurance_quote
974,b1_251,Verify_repayment_agreement
976,b1_251,Cancel_application
978,b1_251,Loan__application_canceled
980,b1_82,Loan__application_received
982,b1_82,Check__application__form_completeness
984,b1_82,Appraise_property
985,b1_82,Check_credit_history
988,b1_82,Assess_loan_risk
990,b1_82,Assess_eligibility
992,b1_82,Prepare_acceptance_pack
994,b1_82,Check_if_home_insurance_quote_is_requested
996,b1_82,Send_acceptance_pack
998,b1_82,Verify_repayment_agreement
1000,b1_82,Approve_application
1002,b1_82,Loan__application_approved
1004,b1_328,Loan__application_received
1006,b1_328,Check__application__form_completeness
1008,b1_328,Appraise_property
1009,b1_328,Check_credit_history
1012,b1_328,Assess_loan_risk
1014,b1_328,Assess_eligibility
1016,b1_328,Prepare_acceptance_pack
1018,b1_328,Check_if_home_insurance_quote_is_requested
1020,b1_328,Send_home_insurance_quote
1022,b1_328,Verify_repayment_agreement
1024,b1_328,Approve_application
1026,b1_328,Loan__application_approved
1028,b1_90,Loan__application_received
1030,b1_90,Check__application__form_completeness
1032,b1_90,Appraise_property
1033,b1_90,Check_credit_history
1036,b1_90,Assess_loan_risk
1038,b1_90,Assess_eligibility
1040,b1_90,Prepare_acceptance_pack
1042,b1_90,Check_if_home_insurance_quote_is_requested
1044,b1_90,Send_acceptance_pack
1046,b1_90,Verify_repayment_agreement
1048,b1_90,Cancel_application
1050,b1_90,Loan__application_canceled
1052,b1_172,Loan__application_received
1054,b1_172,Check__application__form_completeness
1056,b1_172,Appraise_property
1057,b1_172,Check_credit_history
1060,b1_172,Assess_loan_risk
1062,b1_172,Assess_eligibility
1064,b1_172,Prepare_acceptance_pack
1066,b1_172,Check_if_home_insurance_quote_is_requested
1068,b1_172,Send_home_insurance_quote
1070,b1_172,Verify_repayment_agreement
1072,b1_172,Cancel_application
1074,b1_172,Loan__application_canceled
1076,b1_264,Loan__application_received
1078,b1_264,Check__application__form_completeness
1080,b1_264,Return_application_back_to_applicant
1082,b1_264,Receive_updated_application
1084,b1_264,Check__application__form_completeness
1086,b1_264,Appraise_property
1087,b1_264,Check_credit_history
1090,b1_264,Assess_loan_risk
1092,b1_264,Assess_eligibility
1094,b1_264,Reject_application
1096,b1_264,Loan_application_rejected
1098,b1_78,Loan__application_received
1100,b1_78,Check__application__form_completeness
1102,b1_78,Appraise_property
1103,b1_78,Check_credit_history
1106,b1_78,Assess_loan_risk
1108,b1_78,Assess_eligibility
1110,b1_78,Reject_application
1112,b1_78,Loan_application_rejected
1114,b1_143,Loan__application_received
1116,b1_143,Check__application__form_completeness
1118,b1_143,Appraise_property
1119,b1_143,Check_credit_history
1121,b1_143,Assess_loan_risk
1124,b1_143,Assess_eligibility
1126,b1_143,Reject_application
1128,b1_143,Loan_application_rejected
