,id,activity_name
0,b1_113,Loan  application received
2,b1_113,Check  application  form completeness
4,b1_113,Appraise property
5,b1_113,Check credit history
8,b1_113,Assess loan risk
10,b1_113,Assess eligibility
12,b1_113,Reject application
14,b1_113,Loan application rejected
16,b1_12,Loan  application received
18,b1_12,Check  application  form completeness
20,b1_12,Appraise property
21,b1_12,Check credit history
23,b1_12,Assess loan risk
26,b1_12,Assess eligibility
28,b1_12,Prepare acceptance pack
30,b1_12,Check if home insurance quote is requested
32,b1_12,Send home insurance quote
34,b1_12,Verify repayment agreement
36,b1_12,Cancel application
38,b1_12,Loan  application canceled
40,b1_84,Loan  application received
42,b1_84,Check  application  form completeness
44,b1_84,Appraise property
45,b1_84,Check credit history
47,b1_84,Assess loan risk
50,b1_84,Assess eligibility
52,b1_84,Reject application
54,b1_84,Loan application rejected
56,b1_154,Loan  application received
58,b1_154,Check  application  form completeness
60,b1_154,Appraise property
61,b1_154,Check credit history
63,b1_154,Assess loan risk
66,b1_154,Assess eligibility
68,b1_154,Reject application
70,b1_154,Loan application rejected
72,b1_2,Loan  application received
74,b1_2,Check  application  form completeness
76,b1_2,Appraise property
77,b1_2,Check credit history
80,b1_2,Assess loan risk
82,b1_2,Assess eligibility
84,b1_2,Prepare acceptance pack
86,b1_2,Check if home insurance quote is requested
88,b1_2,Send acceptance pack
90,b1_2,Verify repayment agreement
92,b1_2,Cancel application
94,b1_2,Loan  application canceled
96,b1_249,Loan  application received
98,b1_249,Check  application  form completeness
100,b1_249,Appraise property
101,b1_249,Check credit history
104,b1_249,Assess loan risk
106,b1_249,Assess eligibility
108,b1_249,Reject application
110,b1_249,Loan application rejected
112,b1_341,Loan  application received
114,b1_341,Check  application  form completeness
116,b1_341,Appraise property
117,b1_341,Check credit history
120,b1_341,Assess loan risk
122,b1_341,Assess eligibility
124,b1_341,Reject application
126,b1_341,Loan application rejected
128,b1_427,Loan  application received
130,b1_427,Check  application  form completeness
132,b1_427,Appraise property
133,b1_427,Check credit history
135,b1_427,Assess loan risk
138,b1_427,Assess eligibility
140,b1_427,Prepare acceptance pack
142,b1_427,Check if home insurance quote is requested
144,b1_427,Send acceptance pack
146,b1_427,Verify repayment agreement
148,b1_427,Cancel application
150,b1_427,Loan  application canceled
152,b1_478,Loan  application received
154,b1_478,Check  application  form completeness
156,b1_478,Appraise property
157,b1_478,Check credit history
159,b1_478,Assess loan risk
162,b1_478,Assess eligibility
164,b1_478,Reject application
166,b1_478,Loan application rejected
168,b1_15,Loan  application received
170,b1_15,Check  application  form completeness
172,b1_15,Appraise property
173,b1_15,Check credit history
176,b1_15,Assess loan risk
178,b1_15,Assess eligibility
180,b1_15,Prepare acceptance pack
182,b1_15,Check if home insurance quote is requested
184,b1_15,Send acceptance pack
186,b1_15,Verify repayment agreement
188,b1_15,Approve application
190,b1_15,Loan  application approved
192,b1_51,Loan  application received
194,b1_51,Check  application  form completeness
196,b1_51,Appraise property
197,b1_51,Check credit history
199,b1_51,Assess loan risk
202,b1_51,Assess eligibility
204,b1_51,Prepare acceptance pack
206,b1_51,Check if home insurance quote is requested
208,b1_51,Send acceptance pack
210,b1_51,Verify repayment agreement
212,b1_51,Cancel application
214,b1_51,Loan  application canceled
216,b1_206,Loan  application received
218,b1_206,Check  application  form completeness
220,b1_206,Appraise property
221,b1_206,Check credit history
224,b1_206,Assess loan risk
226,b1_206,Assess eligibility
228,b1_206,Prepare acceptance pack
230,b1_206,Check if home insurance quote is requested
232,b1_206,Send acceptance pack
234,b1_206,Verify repayment agreement
236,b1_206,Approve application
238,b1_206,Loan  application approved
240,b1_210,Loan  application received
242,b1_210,Check  application  form completeness
244,b1_210,Appraise property
245,b1_210,Check credit history
247,b1_210,Assess loan risk
250,b1_210,Assess eligibility
252,b1_210,Reject application
254,b1_210,Loan application rejected
256,b1_425,Loan  application received
258,b1_425,Check  application  form completeness
260,b1_425,Appraise property
261,b1_425,Check credit history
264,b1_425,Assess loan risk
266,b1_425,Assess eligibility
268,b1_425,Reject application
270,b1_425,Loan application rejected
272,b1_100,Loan  application received
274,b1_100,Check  application  form completeness
276,b1_100,Appraise property
277,b1_100,Check credit history
280,b1_100,Assess loan risk
282,b1_100,Assess eligibility
284,b1_100,Reject application
286,b1_100,Loan application rejected
288,b1_95,Loan  application received
290,b1_95,Check  application  form completeness
292,b1_95,Appraise property
293,b1_95,Check credit history
296,b1_95,Assess loan risk
298,b1_95,Assess eligibility
300,b1_95,Prepare acceptance pack
302,b1_95,Check if home insurance quote is requested
304,b1_95,Send acceptance pack
306,b1_95,Verify repayment agreement
308,b1_95,Cancel application
310,b1_95,Loan  application canceled
312,b1_497,Loan  application received
314,b1_497,Check  application  form completeness
316,b1_497,Appraise property
317,b1_497,Check credit history
319,b1_497,Assess loan risk
322,b1_497,Assess eligibility
324,b1_497,Reject application
326,b1_497,Loan application rejected
328,b1_431,Loan  application received
330,b1_431,Check  application  form completeness
332,b1_431,Appraise property
333,b1_431,Check credit history
336,b1_431,Assess loan risk
338,b1_431,Assess eligibility
340,b1_431,Prepare acceptance pack
342,b1_431,Check if home insurance quote is requested
344,b1_431,Send home insurance quote
346,b1_431,Verify repayment agreement
348,b1_431,Cancel application
350,b1_431,Loan  application canceled
352,b1_20,Loan  application received
354,b1_20,Check  application  form completeness
356,b1_20,Appraise property
357,b1_20,Check credit history
360,b1_20,Assess loan risk
362,b1_20,Assess eligibility
364,b1_20,Reject application
366,b1_20,Loan application rejected
368,b1_283,Loan  application received
370,b1_283,Check  application  form completeness
372,b1_283,Appraise property
373,b1_283,Check credit history
375,b1_283,Assess loan risk
378,b1_283,Assess eligibility
380,b1_283,Prepare acceptance pack
382,b1_283,Check if home insurance quote is requested
384,b1_283,Send home insurance quote
386,b1_283,Verify repayment agreement
388,b1_283,Cancel application
390,b1_283,Loan  application canceled
392,b1_388,Loan  application received
394,b1_388,Check  application  form completeness
396,b1_388,Return application back to applicant
398,b1_388,Receive updated application
400,b1_388,Check  application  form completeness
402,b1_388,Appraise property
403,b1_388,Check credit history
405,b1_388,Assess loan risk
408,b1_388,Assess eligibility
410,b1_388,Reject application
412,b1_388,Loan application rejected
414,b1_88,Loan  application received
416,b1_88,Check  application  form completeness
418,b1_88,Appraise property
419,b1_88,Check credit history
421,b1_88,Assess loan risk
424,b1_88,Assess eligibility
426,b1_88,Prepare acceptance pack
428,b1_88,Check if home insurance quote is requested
430,b1_88,Send home insurance quote
432,b1_88,Verify repayment agreement
434,b1_88,Cancel application
436,b1_88,Loan  application canceled
438,b1_313,Loan  application received
440,b1_313,Check  application  form completeness
442,b1_313,Appraise property
443,b1_313,Check credit history
446,b1_313,Assess loan risk
448,b1_313,Assess eligibility
450,b1_313,Prepare acceptance pack
452,b1_313,Check if home insurance quote is requested
454,b1_313,Send acceptance pack
456,b1_313,Verify repayment agreement
458,b1_313,Cancel application
460,b1_313,Loan  application canceled
462,b1_366,Loan  application received
464,b1_366,Check  application  form completeness
466,b1_366,Return application back to applicant
468,b1_366,Receive updated application
470,b1_366,Check  application  form completeness
472,b1_366,Return application back to applicant
474,b1_366,Receive updated application
476,b1_366,Check  application  form completeness
478,b1_366,Appraise property
479,b1_366,Check credit history
482,b1_366,Assess loan risk
484,b1_366,Assess eligibility
486,b1_366,Prepare acceptance pack
488,b1_366,Check if home insurance quote is requested
490,b1_366,Send home insurance quote
492,b1_366,Verify repayment agreement
494,b1_366,Cancel application
496,b1_366,Loan  application canceled
498,b1_351,Loan  application received
500,b1_351,Check  application  form completeness
502,b1_351,Appraise property
503,b1_351,Check credit history
505,b1_351,Assess loan risk
508,b1_351,Assess eligibility
510,b1_351,Reject application
512,b1_351,Loan application rejected
514,b1_227,Loan  application received
516,b1_227,Check  application  form completeness
518,b1_227,Appraise property
519,b1_227,Check credit history
522,b1_227,Assess loan risk
524,b1_227,Assess eligibility
526,b1_227,Prepare acceptance pack
528,b1_227,Check if home insurance quote is requested
530,b1_227,Send acceptance pack
532,b1_227,Verify repayment agreement
534,b1_227,Approve application
536,b1_227,Loan  application approved
538,b1_346,Loan  application received
540,b1_346,Check  application  form completeness
542,b1_346,Return application back to applicant
544,b1_346,Receive updated application
546,b1_346,Check  application  form completeness
548,b1_346,Appraise property
549,b1_346,Check credit history
552,b1_346,Assess loan risk
554,b1_346,Assess eligibility
556,b1_346,Reject application
558,b1_346,Loan application rejected
560,b1_404,Loan  application received
562,b1_404,Check  application  form completeness
564,b1_404,Return application back to applicant
566,b1_404,Receive updated application
568,b1_404,Check  application  form completeness
570,b1_404,Appraise property
571,b1_404,Check credit history
574,b1_404,Assess loan risk
576,b1_404,Assess eligibility
578,b1_404,Prepare acceptance pack
580,b1_404,Check if home insurance quote is requested
582,b1_404,Send acceptance pack
584,b1_404,Verify repayment agreement
586,b1_404,Cancel application
588,b1_404,Loan  application canceled
590,b1_254,Loan  application received
592,b1_254,Check  application  form completeness
594,b1_254,Appraise property
595,b1_254,Check credit history
598,b1_254,Assess loan risk
600,b1_254,Assess eligibility
602,b1_254,Reject application
604,b1_254,Loan application rejected
606,b1_467,Loan  application received
608,b1_467,Check  application  form completeness
610,b1_467,Appraise property
611,b1_467,Check credit history
613,b1_467,Assess loan risk
616,b1_467,Assess eligibility
618,b1_467,Reject application
620,b1_467,Loan application rejected
622,b1_19,Loan  application received
624,b1_19,Check  application  form completeness
626,b1_19,Appraise property
627,b1_19,Check credit history
630,b1_19,Assess loan risk
632,b1_19,Assess eligibility
634,b1_19,Prepare acceptance pack
636,b1_19,Check if home insurance quote is requested
638,b1_19,Send acceptance pack
640,b1_19,Verify repayment agreement
642,b1_19,Cancel application
644,b1_19,Loan  application canceled
646,b1_239,Loan  application received
648,b1_239,Check  application  form completeness
650,b1_239,Appraise property
651,b1_239,Check credit history
653,b1_239,Assess loan risk
656,b1_239,Assess eligibility
658,b1_239,Reject application
660,b1_239,Loan application rejected
662,b1_492,Loan  application received
664,b1_492,Check  application  form completeness
666,b1_492,Appraise property
667,b1_492,Check credit history
670,b1_492,Assess loan risk
672,b1_492,Assess eligibility
674,b1_492,Prepare acceptance pack
676,b1_492,Check if home insurance quote is requested
678,b1_492,Send acceptance pack
680,b1_492,Verify repayment agreement
682,b1_492,Approve application
684,b1_492,Loan  application approved
686,b1_139,Loan  application received
688,b1_139,Check  application  form completeness
690,b1_139,Appraise property
691,b1_139,Check credit history
694,b1_139,Assess loan risk
696,b1_139,Assess eligibility
698,b1_139,Prepare acceptance pack
700,b1_139,Check if home insurance quote is requested
702,b1_139,Send acceptance pack
704,b1_139,Verify repayment agreement
706,b1_139,Cancel application
708,b1_139,Loan  application canceled
710,b1_97,Loan  application received
712,b1_97,Check  application  form completeness
714,b1_97,Appraise property
715,b1_97,Check credit history
717,b1_97,Assess loan risk
720,b1_97,Assess eligibility
722,b1_97,Prepare acceptance pack
724,b1_97,Check if home insurance quote is requested
726,b1_97,Send acceptance pack
728,b1_97,Verify repayment agreement
730,b1_97,Approve application
732,b1_97,Loan  application approved
734,b1_437,Loan  application received
736,b1_437,Check  application  form completeness
738,b1_437,Appraise property
739,b1_437,Check credit history
742,b1_437,Assess loan risk
744,b1_437,Assess eligibility
746,b1_437,Prepare acceptance pack
748,b1_437,Check if home insurance quote is requested
750,b1_437,Send acceptance pack
752,b1_437,Verify repayment agreement
754,b1_437,Cancel application
756,b1_437,Loan  application canceled
758,b1_408,Loan  application received
760,b1_408,Check  application  form completeness
762,b1_408,Appraise property
763,b1_408,Check credit history
766,b1_408,Assess loan risk
768,b1_408,Assess eligibility
770,b1_408,Prepare acceptance pack
772,b1_408,Check if home insurance quote is requested
774,b1_408,Send acceptance pack
776,b1_408,Verify repayment agreement
778,b1_408,Cancel application
780,b1_408,Loan  application canceled
782,b1_361,Loan  application received
784,b1_361,Check  application  form completeness
786,b1_361,Appraise property
787,b1_361,Check credit history
789,b1_361,Assess loan risk
792,b1_361,Assess eligibility
794,b1_361,Prepare acceptance pack
796,b1_361,Check if home insurance quote is requested
798,b1_361,Send acceptance pack
800,b1_361,Verify repayment agreement
802,b1_361,Cancel application
804,b1_361,Loan  application canceled
806,b1_203,Loan  application received
808,b1_203,Check  application  form completeness
810,b1_203,Appraise property
811,b1_203,Check credit history
814,b1_203,Assess loan risk
816,b1_203,Assess eligibility
818,b1_203,Prepare acceptance pack
820,b1_203,Check if home insurance quote is requested
822,b1_203,Send home insurance quote
824,b1_203,Verify repayment agreement
826,b1_203,Cancel application
828,b1_203,Loan  application canceled
830,b1_486,Loan  application received
832,b1_486,Check  application  form completeness
834,b1_486,Appraise property
835,b1_486,Check credit history
837,b1_486,Assess loan risk
840,b1_486,Assess eligibility
842,b1_486,Prepare acceptance pack
844,b1_486,Check if home insurance quote is requested
846,b1_486,Send acceptance pack
848,b1_486,Verify repayment agreement
850,b1_486,Approve application
852,b1_486,Loan  application approved
854,b1_238,Loan  application received
856,b1_238,Check  application  form completeness
858,b1_238,Appraise property
859,b1_238,Check credit history
862,b1_238,Assess loan risk
864,b1_238,Assess eligibility
866,b1_238,Prepare acceptance pack
868,b1_238,Check if home insurance quote is requested
870,b1_238,Send acceptance pack
872,b1_238,Verify repayment agreement
874,b1_238,Cancel application
876,b1_238,Loan  application canceled
878,b1_469,Loan  application received
880,b1_469,Check  application  form completeness
882,b1_469,Appraise property
883,b1_469,Check credit history
885,b1_469,Assess loan risk
888,b1_469,Assess eligibility
890,b1_469,Prepare acceptance pack
892,b1_469,Check if home insurance quote is requested
894,b1_469,Send acceptance pack
896,b1_469,Verify repayment agreement
898,b1_469,Approve application
900,b1_469,Loan  application approved
902,b1_421,Loan  application received
904,b1_421,Check  application  form completeness
906,b1_421,Appraise property
907,b1_421,Check credit history
910,b1_421,Assess loan risk
912,b1_421,Assess eligibility
914,b1_421,Prepare acceptance pack
916,b1_421,Check if home insurance quote is requested
918,b1_421,Send home insurance quote
920,b1_421,Verify repayment agreement
922,b1_421,Approve application
924,b1_421,Loan  application approved
926,b1_24,Loan  application received
928,b1_24,Check  application  form completeness
930,b1_24,Return application back to applicant
932,b1_24,Receive updated application
934,b1_24,Check  application  form completeness
936,b1_24,Appraise property
937,b1_24,Check credit history
940,b1_24,Assess loan risk
942,b1_24,Assess eligibility
944,b1_24,Prepare acceptance pack
946,b1_24,Check if home insurance quote is requested
948,b1_24,Send acceptance pack
950,b1_24,Verify repayment agreement
952,b1_24,Cancel application
954,b1_24,Loan  application canceled
956,b1_251,Loan  application received
958,b1_251,Check  application  form completeness
960,b1_251,Appraise property
961,b1_251,Check credit history
964,b1_251,Assess loan risk
966,b1_251,Assess eligibility
968,b1_251,Prepare acceptance pack
970,b1_251,Check if home insurance quote is requested
972,b1_251,Send home insurance quote
974,b1_251,Verify repayment agreement
976,b1_251,Cancel application
978,b1_251,Loan  application canceled
980,b1_82,Loan  application received
982,b1_82,Check  application  form completeness
984,b1_82,Appraise property
985,b1_82,Check credit history
988,b1_82,Assess loan risk
990,b1_82,Assess eligibility
992,b1_82,Prepare acceptance pack
994,b1_82,Check if home insurance quote is requested
996,b1_82,Send acceptance pack
998,b1_82,Verify repayment agreement
1000,b1_82,Approve application
1002,b1_82,Loan  application approved
1004,b1_328,Loan  application received
1006,b1_328,Check  application  form completeness
1008,b1_328,Appraise property
1009,b1_328,Check credit history
1012,b1_328,Assess loan risk
1014,b1_328,Assess eligibility
1016,b1_328,Prepare acceptance pack
1018,b1_328,Check if home insurance quote is requested
1020,b1_328,Send home insurance quote
1022,b1_328,Verify repayment agreement
1024,b1_328,Approve application
1026,b1_328,Loan  application approved
1028,b1_90,Loan  application received
1030,b1_90,Check  application  form completeness
1032,b1_90,Appraise property
1033,b1_90,Check credit history
1036,b1_90,Assess loan risk
1038,b1_90,Assess eligibility
1040,b1_90,Prepare acceptance pack
1042,b1_90,Check if home insurance quote is requested
1044,b1_90,Send acceptance pack
1046,b1_90,Verify repayment agreement
1048,b1_90,Cancel application
1050,b1_90,Loan  application canceled
1052,b1_172,Loan  application received
1054,b1_172,Check  application  form completeness
1056,b1_172,Appraise property
1057,b1_172,Check credit history
1060,b1_172,Assess loan risk
1062,b1_172,Assess eligibility
1064,b1_172,Prepare acceptance pack
1066,b1_172,Check if home insurance quote is requested
1068,b1_172,Send home insurance quote
1070,b1_172,Verify repayment agreement
1072,b1_172,Cancel application
1074,b1_172,Loan  application canceled
1076,b1_264,Loan  application received
1078,b1_264,Check  application  form completeness
1080,b1_264,Return application back to applicant
1082,b1_264,Receive updated application
1084,b1_264,Check  application  form completeness
1086,b1_264,Appraise property
1087,b1_264,Check credit history
1090,b1_264,Assess loan risk
1092,b1_264,Assess eligibility
1094,b1_264,Reject application
1096,b1_264,Loan application rejected
1098,b1_78,Loan  application received
1100,b1_78,Check  application  form completeness
1102,b1_78,Appraise property
1103,b1_78,Check credit history
1106,b1_78,Assess loan risk
1108,b1_78,Assess eligibility
1110,b1_78,Reject application
1112,b1_78,Loan application rejected
1114,b1_143,Loan  application received
1116,b1_143,Check  application  form completeness
1118,b1_143,Appraise property
1119,b1_143,Check credit history
1121,b1_143,Assess loan risk
1124,b1_143,Assess eligibility
1126,b1_143,Reject application
1128,b1_143,Loan application rejected
1130,b1_302,Loan  application received
1132,b1_302,Check  application  form completeness
1134,b1_302,Appraise property
1135,b1_302,Check credit history
1137,b1_302,Assess loan risk
1140,b1_302,Assess eligibility
1142,b1_302,Reject application
1144,b1_302,Loan application rejected
1146,b1_462,Loan  application received
1148,b1_462,Check  application  form completeness
1150,b1_462,Appraise property
1151,b1_462,Check credit history
1153,b1_462,Assess loan risk
1156,b1_462,Assess eligibility
1158,b1_462,Prepare acceptance pack
1160,b1_462,Check if home insurance quote is requested
1162,b1_462,Send home insurance quote
1164,b1_462,Verify repayment agreement
1166,b1_462,Approve application
1168,b1_462,Loan  application approved
1170,b1_171,Loan  application received
1172,b1_171,Check  application  form completeness
1174,b1_171,Appraise property
1175,b1_171,Check credit history
1178,b1_171,Assess loan risk
1180,b1_171,Assess eligibility
1182,b1_171,Prepare acceptance pack
1184,b1_171,Check if home insurance quote is requested
1186,b1_171,Send home insurance quote
1188,b1_171,Verify repayment agreement
1190,b1_171,Cancel application
1192,b1_171,Loan  application canceled
1194,b1_270,Loan  application received
1196,b1_270,Check  application  form completeness
1198,b1_270,Appraise property
1199,b1_270,Check credit history
1201,b1_270,Assess loan risk
1204,b1_270,Assess eligibility
1206,b1_270,Reject application
1208,b1_270,Loan application rejected
1210,b1_40,Loan  application received
1212,b1_40,Check  application  form completeness
1214,b1_40,Appraise property
1215,b1_40,Check credit history
1217,b1_40,Assess loan risk
1220,b1_40,Assess eligibility
1222,b1_40,Prepare acceptance pack
1224,b1_40,Check if home insurance quote is requested
1226,b1_40,Send acceptance pack
1228,b1_40,Verify repayment agreement
1230,b1_40,Cancel application
1232,b1_40,Loan  application canceled
1234,b1_472,Loan  application received
1236,b1_472,Check  application  form completeness
1238,b1_472,Appraise property
1239,b1_472,Check credit history
1242,b1_472,Assess loan risk
1244,b1_472,Assess eligibility
1246,b1_472,Prepare acceptance pack
1248,b1_472,Check if home insurance quote is requested
1250,b1_472,Send home insurance quote
