,id,activity_name
0,b1_503,Loan  application received
2,b1_503,Check  application  form completeness
4,b1_503,Appraise property
5,b1_503,Check credit history
8,b1_503,Assess loan risk
10,b1_503,Assess eligibility
12,b1_503,Reject application
14,b1_503,Loan application rejected
16,b1_501,Loan  application received
18,b1_501,Check  application  form completeness
20,b1_501,Appraise property
21,b1_501,Check credit history
24,b1_501,Assess loan risk
26,b1_501,Assess eligibility
28,b1_501,Reject application
30,b1_501,Loan application rejected
32,b1_543,Loan  application received
34,b1_543,Check  application  form completeness
36,b1_543,Appraise property
37,b1_543,Check credit history
39,b1_543,Assess loan risk
42,b1_543,Assess eligibility
44,b1_543,Prepare acceptance pack
46,b1_543,Check if home insurance quote is requested
48,b1_543,Send home insurance quote
50,b1_543,Verify repayment agreement
52,b1_543,Cancel application
54,b1_543,Loan  application canceled
56,b1_956,Loan  application received
58,b1_956,Check  application  form completeness
60,b1_956,Appraise property
61,b1_956,Check credit history
63,b1_956,Assess loan risk
66,b1_956,Assess eligibility
68,b1_956,Reject application
70,b1_956,Loan application rejected
72,b1_84,Loan  application received
74,b1_84,Check  application  form completeness
76,b1_84,Appraise property
77,b1_84,Check credit history
80,b1_84,Assess loan risk
82,b1_84,Assess eligibility
84,b1_84,Reject application
86,b1_84,Loan application rejected
88,b1_12,Loan  application received
90,b1_12,Check  application  form completeness
92,b1_12,Return application back to applicant
94,b1_12,Receive updated application
96,b1_12,Check  application  form completeness
98,b1_12,Appraise property
99,b1_12,Check credit history
101,b1_12,Assess loan risk
104,b1_12,Assess eligibility
106,b1_12,Prepare acceptance pack
108,b1_12,Check if home insurance quote is requested
110,b1_12,Send acceptance pack
112,b1_12,Verify repayment agreement
114,b1_12,Approve application
116,b1_12,Loan  application approved
118,b1_154,Loan  application received
120,b1_154,Check  application  form completeness
122,b1_154,Appraise property
123,b1_154,Check credit history
126,b1_154,Assess loan risk
128,b1_154,Assess eligibility
130,b1_154,Prepare acceptance pack
132,b1_154,Check if home insurance quote is requested
134,b1_154,Send acceptance pack
136,b1_154,Verify repayment agreement
138,b1_154,Cancel application
140,b1_154,Loan  application canceled
142,b1_249,Loan  application received
144,b1_249,Check  application  form completeness
146,b1_249,Appraise property
147,b1_249,Check credit history
149,b1_249,Assess loan risk
152,b1_249,Assess eligibility
154,b1_249,Reject application
156,b1_249,Loan application rejected
158,b1_341,Loan  application received
160,b1_341,Check  application  form completeness
162,b1_341,Appraise property
163,b1_341,Check credit history
165,b1_341,Assess loan risk
168,b1_341,Assess eligibility
170,b1_341,Prepare acceptance pack
172,b1_341,Check if home insurance quote is requested
174,b1_341,Send acceptance pack
176,b1_341,Verify repayment agreement
178,b1_341,Cancel application
180,b1_341,Loan  application canceled
182,b1_478,Loan  application received
184,b1_478,Check  application  form completeness
186,b1_478,Appraise property
187,b1_478,Check credit history
190,b1_478,Assess loan risk
192,b1_478,Assess eligibility
194,b1_478,Reject application
196,b1_478,Loan application rejected
198,b1_51,Loan  application received
200,b1_51,Check  application  form completeness
202,b1_51,Appraise property
203,b1_51,Check credit history
206,b1_51,Assess loan risk
208,b1_51,Assess eligibility
210,b1_51,Prepare acceptance pack
212,b1_51,Check if home insurance quote is requested
214,b1_51,Send acceptance pack
216,b1_51,Verify repayment agreement
218,b1_51,Cancel application
220,b1_51,Loan  application canceled
222,b1_15,Loan  application received
224,b1_15,Check  application  form completeness
226,b1_15,Appraise property
227,b1_15,Check credit history
229,b1_15,Assess loan risk
232,b1_15,Assess eligibility
234,b1_15,Reject application
236,b1_15,Loan application rejected
238,b1_210,Loan  application received
240,b1_210,Check  application  form completeness
242,b1_210,Appraise property
243,b1_210,Check credit history
246,b1_210,Assess loan risk
248,b1_210,Assess eligibility
250,b1_210,Prepare acceptance pack
252,b1_210,Check if home insurance quote is requested
254,b1_210,Send home insurance quote
256,b1_210,Verify repayment agreement
258,b1_210,Cancel application
260,b1_210,Loan  application canceled
262,b1_100,Loan  application received
264,b1_100,Check  application  form completeness
266,b1_100,Appraise property
267,b1_100,Check credit history
269,b1_100,Assess loan risk
272,b1_100,Assess eligibility
274,b1_100,Prepare acceptance pack
276,b1_100,Check if home insurance quote is requested
278,b1_100,Send home insurance quote
280,b1_100,Verify repayment agreement
282,b1_100,Approve application
284,b1_100,Loan  application approved
286,b1_95,Loan  application received
288,b1_95,Check  application  form completeness
290,b1_95,Appraise property
291,b1_95,Check credit history
294,b1_95,Assess loan risk
296,b1_95,Assess eligibility
298,b1_95,Reject application
300,b1_95,Loan application rejected
302,b1_980,Loan  application received
304,b1_980,Check  application  form completeness
306,b1_980,Appraise property
307,b1_980,Check credit history
310,b1_980,Assess loan risk
312,b1_980,Assess eligibility
314,b1_980,Prepare acceptance pack
316,b1_980,Check if home insurance quote is requested
318,b1_980,Send home insurance quote
320,b1_980,Verify repayment agreement
322,b1_980,Approve application
324,b1_980,Loan  application approved
326,b1_431,Loan  application received
328,b1_431,Check  application  form completeness
330,b1_431,Appraise property
331,b1_431,Check credit history
334,b1_431,Assess loan risk
336,b1_431,Assess eligibility
338,b1_431,Prepare acceptance pack
340,b1_431,Check if home insurance quote is requested
342,b1_431,Send acceptance pack
344,b1_431,Verify repayment agreement
346,b1_431,Cancel application
348,b1_431,Loan  application canceled
350,b1_20,Loan  application received
352,b1_20,Check  application  form completeness
354,b1_20,Appraise property
355,b1_20,Check credit history
357,b1_20,Assess loan risk
360,b1_20,Assess eligibility
362,b1_20,Reject application
364,b1_20,Loan application rejected
366,b1_729,Loan  application received
368,b1_729,Check  application  form completeness
370,b1_729,Appraise property
371,b1_729,Check credit history
373,b1_729,Assess loan risk
376,b1_729,Assess eligibility
378,b1_729,Reject application
380,b1_729,Loan application rejected
382,b1_283,Loan  application received
384,b1_283,Check  application  form completeness
386,b1_283,Appraise property
387,b1_283,Check credit history
389,b1_283,Assess loan risk
392,b1_283,Assess eligibility
394,b1_283,Reject application
396,b1_283,Loan application rejected
398,b1_388,Loan  application received
400,b1_388,Check  application  form completeness
402,b1_388,Appraise property
403,b1_388,Check credit history
405,b1_388,Assess loan risk
408,b1_388,Assess eligibility
410,b1_388,Prepare acceptance pack
412,b1_388,Check if home insurance quote is requested
414,b1_388,Send home insurance quote
416,b1_388,Verify repayment agreement
418,b1_388,Cancel application
420,b1_388,Loan  application canceled
422,b1_857,Loan  application received
424,b1_857,Check  application  form completeness
426,b1_857,Appraise property
427,b1_857,Check credit history
429,b1_857,Assess loan risk
432,b1_857,Assess eligibility
434,b1_857,Reject application
436,b1_857,Loan application rejected
438,b1_625,Loan  application received
440,b1_625,Check  application  form completeness
442,b1_625,Appraise property
443,b1_625,Check credit history
445,b1_625,Assess loan risk
448,b1_625,Assess eligibility
450,b1_625,Prepare acceptance pack
452,b1_625,Check if home insurance quote is requested
454,b1_625,Send home insurance quote
456,b1_625,Verify repayment agreement
458,b1_625,Cancel application
460,b1_625,Loan  application canceled
462,b1_366,Loan  application received
464,b1_366,Check  application  form completeness
466,b1_366,Appraise property
467,b1_366,Check credit history
470,b1_366,Assess loan risk
472,b1_366,Assess eligibility
474,b1_366,Prepare acceptance pack
476,b1_366,Check if home insurance quote is requested
478,b1_366,Send acceptance pack
